instance,process,step_scale,time,value,eta,zeta,constraint satisfaction
MANN_a27,tuned,1,5.22181,-126.0,0.0075,20.0,True
MANN_a27,tuning,2,2.61356,-125.0,0.005,20.0,True
MANN_a27,tuned,2,5.23738,-126.0,0.0075,20.0,True
MANN_a27,tuning,2,2.61686,-125.0,0.005,20.0,True
MANN_a27,tuned,5,5.22974,-126.0,0.0075,20.0,True
MANN_a27,tuning,2,2.63875,-125.0,0.005,20.0,True
MANN_a27,tuned,10,5.47663,-126.0,0.03,12.5,True
MANN_a27,tuning,2,2.63897,-125.0,0.005,20.0,True
MANN_a27,tuned,20,6.09492,-126.0,0.06,7.5,True
MANN_a27,tuning,2,2.73261,-125.0,0.005,20.0,True
MANN_a27,tuned,50,8.04775,-126.0,0.0075,20.0,True
MANN_a45,tuning,2,2.64199,-340.0,0.05,5.0,True
MANN_a45,tuned,1,5.26316,-342.0,0.02,10.0,True
MANN_a45,tuning,2,2.66387,-340.0,0.05,5.0,True
MANN_a45,tuned,2,5.24753,-342.0,0.02,10.0,True
MANN_a45,tuning,2,2.62818,-340.0,0.05,5.0,True
MANN_a45,tuned,5,5.76217,-342.0,0.015,10.0,True
MANN_a45,tuning,2,2.78114,-340.0,0.05,5.0,True
MANN_a45,tuned,10,6.69623,-342.0,0.02,10.0,True
MANN_a45,tuning,2,2.66738,-340.0,0.05,5.0,True
MANN_a45,tuned,20,8.17887,-342.0,0.02,10.0,True
MANN_a45,tuning,2,2.71121,-340.0,0.05,5.0,True
MANN_a45,tuned,50,13.06872,-342.0,0.02,10.0,True
MANN_a81,tuning,2,3.63512,-1094.0,0.005,20.0,True
MANN_a81,tuned,1,6.94947,-1096.0,0.02,10.0,True
MANN_a81,tuning,2,3.6401,-1094.0,0.005,20.0,True
MANN_a81,tuned,2,7.89366,-1096.0,0.02,10.0,True
MANN_a81,tuning,2,3.66007,-1094.0,0.005,20.0,True
MANN_a81,tuned,5,10.37703,-1096.0,0.015,10.0,True
MANN_a81,tuning,2,3.72235,-1094.0,0.005,20.0,True
MANN_a81,tuned,10,14.99056,-1096.0,0.015,10.0,True
MANN_a81,tuning,2,3.8124,-1094.0,0.005,20.0,True
MANN_a81,tuned,20,23.8383,-1096.0,0.02,10.0,True
MANN_a81,tuning,2,3.6432,-1094.0,0.005,20.0,True
MANN_a81,tuned,50,50.46855,-1096.0,0.02,10.0,True
MANN_a9,tuning,2,2.64606,-16.0,0.002,1.0,True
MANN_a9,tuned,1,5.35223,-16.0,0.002,1.0,True
MANN_a9,tuning,2,2.62948,-16.0,0.002,1.0,True
MANN_a9,tuned,2,5.25632,-16.0,0.002,1.0,True
MANN_a9,tuning,2,2.61074,-16.0,0.002,1.0,True
MANN_a9,tuned,5,5.23768,-16.0,0.002,1.0,True
MANN_a9,tuning,2,2.75182,-16.0,0.002,1.0,True
MANN_a9,tuned,10,5.44633,-16.0,0.002,1.0,True
MANN_a9,tuning,2,2.62582,-16.0,0.002,1.0,True
MANN_a9,tuned,20,5.37988,-16.0,0.002,1.0,True
MANN_a9,tuning,2,2.68512,-16.0,0.002,1.0,True
MANN_a9,tuned,50,5.61033,-16.0,0.002,1.0,True
brock200_1,tuning,2,2.68231,-20.0,0.002,10.0,True
brock200_1,tuned,1,5.43807,-21.0,0.0035,2.5,True
brock200_1,tuning,2,2.67442,-20.0,0.002,10.0,True
brock200_1,tuned,2,5.49134,-21.0,0.0035,2.5,True
brock200_1,tuning,2,2.67709,-20.0,0.002,10.0,True
brock200_1,tuned,5,5.3347,-21.0,0.0035,2.5,True
brock200_1,tuning,2,2.66912,-20.0,0.002,10.0,True
brock200_1,tuned,10,5.33244,-21.0,0.0035,2.5,True
brock200_1,tuning,2,2.66886,-20.0,0.002,10.0,True
brock200_1,tuned,20,5.66983,-21.0,0.0035,2.5,True
brock200_1,tuning,2,2.62679,-20.0,0.002,10.0,True
brock200_1,tuned,50,6.52534,-21.0,0.0035,2.5,True
brock400_1,tuning,2,2.73281,-24.0,0.005,1.0,True
brock400_1,tuned,1,5.43277,-25.0,0.0075,3.0,True
brock400_1,tuning,2,2.68618,-24.0,0.005,1.0,True
brock400_1,tuned,2,5.31998,-25.0,0.0075,3.0,True
brock400_1,tuning,2,2.66118,-24.0,0.005,1.0,True
brock400_1,tuned,5,5.31907,-25.0,0.0075,3.0,True
brock400_1,tuning,2,2.76703,-24.0,0.005,1.0,True
brock400_1,tuned,10,5.71568,-25.0,0.0075,3.0,True
brock400_1,tuning,2,2.68543,-24.0,0.005,1.0,True
brock400_1,tuned,20,6.2849,-25.0,0.005,1.0,True
brock400_1,tuning,2,2.81698,-24.0,0.005,1.0,True
brock400_1,tuned,50,8.3031,-25.0,0.006,2.5,True
brock800_1,tuning,2,2.70064,-20.0,0.02,2.0,True
brock800_1,tuned,1,5.54774,-20.0,0.02,2.0,True
brock800_1,tuning,2,2.71687,-20.0,0.02,2.0,True
brock800_1,tuned,2,5.5237,-20.0,0.02,2.0,True
brock800_1,tuning,2,2.75304,-20.0,0.02,2.0,True
brock800_1,tuned,5,5.74352,-20.0,0.002,10.0,True
brock800_1,tuning,2,2.79694,-20.0,0.02,2.0,True
brock800_1,tuned,10,6.4299,-21.0,0.011,6.0,True
brock800_1,tuning,2,2.91848,-20.0,0.02,2.0,True
brock800_1,tuned,20,7.76924,-21.0,0.002,10.0,True
brock800_1,tuning,2,2.70057,-20.0,0.02,2.0,True
brock800_1,tuned,50,11.40935,-21.0,0.011,5.5,True
c-fat200-1,tuning,2,2.6651,-12.0,0.002,1.0,True
c-fat200-1,tuned,1,5.33351,-12.0,0.002,1.0,True
c-fat200-1,tuning,2,2.68332,-12.0,0.002,1.0,True
c-fat200-1,tuned,2,5.36452,-12.0,0.002,1.0,True
c-fat200-1,tuning,2,2.67231,-12.0,0.002,1.0,True
c-fat200-1,tuned,5,5.34395,-12.0,0.002,1.0,True
c-fat200-1,tuning,2,2.70863,-12.0,0.002,1.0,True
c-fat200-1,tuned,10,5.37603,-12.0,0.002,1.0,True
c-fat200-1,tuning,2,2.76984,-12.0,0.002,1.0,True
c-fat200-1,tuned,20,5.78953,-12.0,0.002,1.0,True
c-fat200-1,tuning,2,2.70168,-12.0,0.002,1.0,True
c-fat200-1,tuned,50,6.66128,-12.0,0.002,1.0,True
c-fat500-1,tuning,2,2.68521,-14.0,0.002,1.0,True
c-fat500-1,tuned,1,5.36683,-14.0,0.002,1.0,True
c-fat500-1,tuning,2,2.67988,-14.0,0.002,1.0,True
c-fat500-1,tuned,2,5.33902,-14.0,0.002,1.0,True
c-fat500-1,tuning,2,2.8739,-14.0,0.002,1.0,True
c-fat500-1,tuned,5,5.84123,-14.0,0.002,1.0,True
c-fat500-1,tuning,2,2.68042,-14.0,0.002,1.0,True
c-fat500-1,tuned,10,6.07105,-14.0,0.002,1.0,True
c-fat500-1,tuning,2,2.80147,-14.0,0.002,1.0,True
c-fat500-1,tuned,20,6.9148,-14.0,0.002,1.0,True
c-fat500-1,tuning,2,2.68682,-14.0,0.002,1.0,True
c-fat500-1,tuned,50,9.07836,-14.0,0.002,1.0,True
gen200_p0.9_44,tuning,2,2.69858,-44.0,0.01,10.0,True
gen200_p0.9_44,tuned,1,5.46322,-44.0,0.055,5.5,True
gen200_p0.9_44,tuning,2,2.71942,-44.0,0.01,10.0,True
gen200_p0.9_44,tuned,2,5.52994,-44.0,0.055,5.5,True
gen200_p0.9_44,tuning,2,2.71106,-44.0,0.01,10.0,True
gen200_p0.9_44,tuned,5,5.41285,-44.0,0.055,5.5,True
gen200_p0.9_44,tuning,2,2.80939,-44.0,0.01,10.0,True
gen200_p0.9_44,tuned,10,5.54265,-44.0,0.055,5.5,True
gen200_p0.9_44,tuning,2,2.8525,-44.0,0.01,10.0,True
gen200_p0.9_44,tuned,20,5.89516,-44.0,0.055,5.5,True
gen200_p0.9_44,tuning,2,2.73238,-44.0,0.01,10.0,True
gen200_p0.9_44,tuned,50,6.74335,-44.0,0.2,5.0,True
gen200_p0.9_55,tuning,2,2.73939,-55.0,0.01,20.0,True
gen200_p0.9_55,tuned,1,5.57922,-55.0,0.01,20.0,True
gen200_p0.9_55,tuning,2,2.70459,-55.0,0.01,20.0,True
gen200_p0.9_55,tuned,2,5.41884,-55.0,0.01,20.0,True
gen200_p0.9_55,tuning,2,2.69851,-55.0,0.01,20.0,True
gen200_p0.9_55,tuned,5,5.5144,-55.0,0.01,20.0,True
gen200_p0.9_55,tuning,2,2.72828,-55.0,0.01,20.0,True
gen200_p0.9_55,tuned,10,5.43816,-55.0,0.01,20.0,True
gen200_p0.9_55,tuning,2,2.72029,-55.0,0.01,20.0,True
gen200_p0.9_55,tuned,20,5.79661,-55.0,0.01,20.0,True
gen200_p0.9_55,tuning,2,2.72674,-55.0,0.01,20.0,True
gen200_p0.9_55,tuned,50,6.74785,-55.0,0.01,20.0,True
gen400_p0.9_55,tuning,2,2.7801,-52.0,0.01,10.0,True
gen400_p0.9_55,tuned,1,5.50884,-53.0,0.05,0.0,True
gen400_p0.9_55,tuning,2,2.91393,-52.0,0.01,10.0,True
gen400_p0.9_55,tuned,2,5.61925,-53.0,0.05,0.0,True
gen400_p0.9_55,tuning,2,2.89983,-52.0,0.01,10.0,True
gen400_p0.9_55,tuned,5,5.84706,-53.0,0.05,0.0,True
gen400_p0.9_55,tuning,2,2.71495,-52.0,0.01,10.0,True
gen400_p0.9_55,tuned,10,5.91711,-55.0,0.03,5.0,True
gen400_p0.9_55,tuning,2,2.87459,-52.0,0.01,10.0,True
gen400_p0.9_55,tuned,20,6.62042,-55.0,0.01,10.0,True
gen400_p0.9_55,tuning,2,2.73174,-52.0,0.01,10.0,True
gen400_p0.9_55,tuned,50,8.24397,-55.0,0.01,10.0,True
gen400_p0.9_65,tuning,2,2.90912,-65.0,0.01,1.0,True
gen400_p0.9_65,tuned,1,5.69087,-65.0,0.02,0.0,True
gen400_p0.9_65,tuning,2,2.71635,-65.0,0.01,1.0,True
gen400_p0.9_65,tuned,2,5.42181,-65.0,0.02,0.0,True
gen400_p0.9_65,tuning,2,2.95038,-65.0,0.01,1.0,True
gen400_p0.9_65,tuned,5,5.73699,-65.0,0.02,0.0,True
gen400_p0.9_65,tuning,2,2.74365,-65.0,0.01,1.0,True
gen400_p0.9_65,tuned,10,5.82727,-65.0,0.02,0.0,True
