,instance,process,time,value,constraint satisfaction,best known solution
118,esc128,MILP,269.29015,66.0,True,64
119,esc128,MILP,269.31729,64.0,True,64
120,esc128,MILP,270.87486,64.0,True,64
121,esc128,MIQP,0.01559,254.0,True,64
122,esc128,MIQP,24.26299,250.0,True,64
123,esc128,MIQP,25.47731,222.0,True,64
124,esc128,MIQP,25.55634,190.0,True,64
125,esc128,MIQP,26.35697,148.0,True,64
126,esc128,MIQP,30.97202,120.0,True,64
127,esc128,MIQP,34.12451,116.0,True,64
128,esc128,MIQP,46.09692,114.0,True,64
129,esc128,MIQP,46.11796,112.0,True,64
130,esc128,MIQP,75.23891,108.0,True,64
131,esc128,MIQP,75.26225,104.0,True,64
132,esc128,MIQP,155.78039,90.0,True,64
133,esc128,MIQP,155.7991,74.0,True,64
134,esc128,MIQP,155.82212,72.0,True,64
135,esc128,MIQP,155.84724,70.0,True,64
136,esc128,MIQP,155.86836,68.0,True,64
137,esc128,MIQP,210.04461,66.0,True,64
138,esc128,MIQP,271.14241,66.0,True,64
139,esc128,QUBO,0.02873,12227.69,False,64
140,esc128,QUBO,14.04277,202.0,True,64
141,esc128,QUBO,14.95102,104.0,True,64
142,esc128,QUBO,16.5976,84.0,True,64
143,esc128,QUBO,270.36423,84.0,True,64
144,esc32a,MILP,0.00591,428.0,True,130
145,esc32a,MILP,0.26513,220.0,True,130
146,esc32a,MILP,0.27193,214.0,True,130
147,esc32a,MILP,0.41008,196.0,True,130
148,esc32a,MILP,0.56589,184.0,True,130
149,esc32a,MILP,1.53653,176.0,True,130
150,esc32a,MILP,4.51909,172.0,True,130
151,esc32a,MILP,8.54717,170.0,True,130
152,esc32a,MILP,8.54903,168.0,True,130
153,esc32a,MILP,8.55045,166.0,True,130
154,esc32a,MILP,8.55235,162.0,True,130
155,esc32a,MILP,20.29861,150.0,True,130
156,esc32a,MIQP,0.00163,428.0,True,130
157,esc32a,MIQP,3.19842,394.0,True,130
158,esc32a,MIQP,3.20017,386.0,True,130
159,esc32a,MIQP,3.20113,344.0,True,130
160,esc32a,MIQP,3.20204,286.0,True,130
161,esc32a,MIQP,3.20296,282.0,True,130
162,esc32a,MIQP,3.32898,236.0,True,130
163,esc32a,MIQP,4.22817,228.0,True,130
164,esc32a,MIQP,4.63943,220.0,True,130
165,esc32a,MIQP,8.1503,218.0,True,130
166,esc32a,MIQP,8.1518,204.0,True,130
167,esc32a,MIQP,8.15286,198.0,True,130
168,esc32a,MIQP,8.15397,180.0,True,130
169,esc32a,MIQP,8.15516,168.0,True,130
170,esc32a,MIQP,10.42951,164.0,True,130
171,esc32a,MIQP,11.53553,162.0,True,130
172,esc32a,MIQP,14.10018,158.0,True,130
173,esc32a,MIQP,18.03058,152.0,True,130
174,esc32a,MIQP,20.11227,152.0,True,130
175,esc32a,QUBO,0.00183,3891.2,False,130
176,esc32a,QUBO,0.37463,505.6,False,130
177,esc32a,QUBO,0.39102,220.0,True,130
178,esc32a,QUBO,0.42818,212.0,True,130
179,esc32a,QUBO,6.62483,190.0,True,130
180,esc32a,QUBO,8.98245,186.0,True,130
181,esc32a,QUBO,14.74273,180.0,True,130
182,esc32a,QUBO,15.99315,174.0,True,130
183,esc32a,QUBO,17.13646,170.0,True,130
184,esc32a,QUBO,19.69331,166.0,True,130
185,esc32a,QUBO,19.71139,162.0,True,130
186,esc32a,QUBO,20.65978,162.0,True,130
187,esc64a,MILP,0.01945,290.0,True,116
188,esc64a,MILP,1.04067,230.0,True,116
189,esc64a,MILP,1.08472,226.0,True,116
190,esc64a,MILP,1.51073,148.0,True,116
191,esc64a,MILP,2.3328,140.0,True,116
192,esc64a,MILP,2.33904,136.0,True,116
193,esc64a,MILP,3.70052,128.0,True,116
194,esc64a,MILP,3.70658,126.0,True,116
195,esc64a,MILP,4.13131,118.0,True,116
196,esc64a,MILP,65.65803,116.0,True,116
197,esc64a,MILP,66.07232,116.0,True,116
198,esc64a,MIQP,0.00551,290.0,True,116
199,esc64a,MIQP,3.70158,218.0,True,116
200,esc64a,MIQP,3.72342,174.0,True,116
201,esc64a,MIQP,4.16739,162.0,True,116
202,esc64a,MIQP,4.79717,158.0,True,116
203,esc64a,MIQP,4.80154,150.0,True,116
204,esc64a,MIQP,4.80523,144.0,True,116
205,esc64a,MIQP,4.80891,132.0,True,116
206,esc64a,MIQP,5.04337,126.0,True,116
207,esc64a,MIQP,5.56908,122.0,True,116
208,esc64a,MIQP,14.7141,120.0,True,116
209,esc64a,MIQP,14.76052,118.0,True,116
210,esc64a,MIQP,37.83616,116.0,True,116
211,esc64a,MIQP,38.33268,116.0,True,116
212,esc64a,QUBO,0.00788,6713.19,False,116
213,esc64a,QUBO,2.06333,566.68,False,116
214,esc64a,QUBO,2.19812,132.0,True,116
215,esc64a,QUBO,71.86849,132.0,True,116
216,kra30a,MILP,0.01241,134560.0,True,88900
217,kra30a,MILP,0.78359,121220.0,True,88900
218,kra30a,MILP,1.09741,119710.0,True,88900
219,kra30a,MILP,1.93066,114080.0,True,88900
220,kra30a,MILP,4.57982,110480.0,True,88900
221,kra30a,MILP,8.31131,109890.0,True,88900
222,kra30a,MILP,8.32501,109700.0,True,88900
223,kra30a,MILP,12.99483,108900.0,True,88900
224,kra30a,MILP,12.99848,107700.0,True,88900
225,kra30a,MILP,13.00144,106920.0,True,88900
226,kra30a,MILP,13.00453,104110.0,True,88900
227,kra30a,MILP,13.00877,103040.0,True,88900
228,kra30a,MILP,19.27836,100840.0,True,88900
229,kra30a,MIQP,0.00314,134560.0,True,88900
230,kra30a,MIQP,3.76735,128620.0,True,88900
231,kra30a,MIQP,3.76909,125020.0,True,88900
232,kra30a,MIQP,3.77046,123820.0,True,88900
233,kra30a,MIQP,3.78638,117710.0,True,88900
234,kra30a,MIQP,3.84838,117100.0,True,88900
235,kra30a,MIQP,3.98405,113860.0,True,88900
236,kra30a,MIQP,5.87634,105850.0,True,88900
237,kra30a,MIQP,10.66013,105650.0,True,88900
238,kra30a,MIQP,10.66222,105040.0,True,88900
239,kra30a,MIQP,10.66927,103250.0,True,88900
240,kra30a,MIQP,10.67143,102970.0,True,88900
241,kra30a,MIQP,17.62971,102900.0,True,88900
242,kra30a,MIQP,18.60658,101270.0,True,88900
243,kra30a,QUBO,0.00292,798840.0,False,88900
244,kra30a,QUBO,0.6645,129520.0,True,88900
245,kra30a,QUBO,0.687,109560.0,True,88900
246,kra30a,QUBO,8.40187,108960.0,True,88900
247,kra30a,QUBO,12.67411,105120.0,True,88900
248,kra30a,QUBO,14.63974,101700.0,True,88900
249,kra30a,QUBO,19.1509,101700.0,True,88900
250,kra32,MILP,0.01309,146780.0,True,88700
251,kra32,MILP,1.09479,121310.0,True,88700
252,kra32,MILP,1.45506,120730.0,True,88700
253,kra32,MILP,2.57969,116340.0,True,88700
254,kra32,MILP,2.59965,114390.0,True,88700
255,kra32,MILP,5.78151,111990.0,True,88700
256,kra32,MILP,7.16563,107060.0,True,88700
257,kra32,MILP,11.06188,106860.0,True,88700
258,kra32,MILP,11.09163,106570.0,True,88700
259,kra32,MILP,17.38297,105650.0,True,88700
260,kra32,MILP,17.38856,105250.0,True,88700
261,kra32,MILP,17.39214,104960.0,True,88700
262,kra32,MILP,17.39644,104190.0,True,88700
263,kra32,MILP,17.40144,103650.0,True,88700
264,kra32,MILP,17.53211,103180.0,True,88700
265,kra32,MILP,20.77385,103180.0,True,88700
266,kra32,MIQP,0.00356,146780.0,True,88700
267,kra32,MIQP,4.66637,131730.0,True,88700
268,kra32,MIQP,4.66838,126200.0,True,88700
269,kra32,MIQP,4.66999,121300.0,True,88700
270,kra32,MIQP,4.67159,120840.0,True,88700
271,kra32,MIQP,4.67322,119720.0,True,88700
272,kra32,MIQP,4.67481,118920.0,True,88700
273,kra32,MIQP,4.73482,115520.0,True,88700
274,kra32,MIQP,4.90002,110360.0,True,88700
275,kra32,MIQP,7.4192,105760.0,True,88700
276,kra32,MIQP,12.2723,98750.0,True,88700
277,kra32,MIQP,12.27443,98350.0,True,88700
278,kra32,MIQP,20.69434,98350.0,True,88700
279,kra32,QUBO,0.00339,864063.88,False,88700
280,kra32,QUBO,0.76193,136260.0,True,88700
281,kra32,QUBO,0.7895,114970.0,True,88700
282,kra32,QUBO,0.8432,110350.0,True,88700
283,kra32,QUBO,8.64974,108990.0,True,88700
284,kra32,QUBO,11.72505,107460.0,True,88700
285,kra32,QUBO,17.17421,107340.0,True,88700
286,kra32,QUBO,17.20278,106660.0,True,88700
287,kra32,QUBO,17.23141,106420.0,True,88700
288,kra32,QUBO,17.25976,106140.0,True,88700
289,kra32,QUBO,17.28853,105740.0,True,88700
290,kra32,QUBO,17.31751,104630.0,True,88700
291,kra32,QUBO,19.86262,102640.0,True,88700
292,kra32,QUBO,21.90578,102640.0,True,88700
293,lipa30a,MILP,0.02375,13796.0,True,13178
294,lipa30a,MILP,1.34195,13782.0,True,13178
295,lipa30a,MILP,1.38128,13753.0,True,13178
296,lipa30a,MILP,1.427,13732.0,True,13178
297,lipa30a,MILP,2.17018,13725.0,True,13178
298,lipa30a,MILP,2.17342,13716.0,True,13178
299,lipa30a,MILP,2.54118,13699.0,True,13178
300,lipa30a,MILP,3.20524,13673.0,True,13178
301,lipa30a,MILP,5.68609,13660.0,True,13178
302,lipa30a,MILP,7.07213,13586.0,True,13178
303,lipa30a,MILP,8.10989,13585.0,True,13178
304,lipa30a,MILP,18.33022,13585.0,True,13178
305,lipa30a,MIQP,0.00757,13796.0,True,13178
306,lipa30a,MIQP,7.5207,13726.0,True,13178
307,lipa30a,MIQP,7.52428,13714.0,True,13178
308,lipa30a,MIQP,7.78472,13619.0,True,13178
309,lipa30a,MIQP,10.3426,13562.0,True,13178
310,lipa30a,MIQP,10.5164,13552.0,True,13178
311,lipa30a,MIQP,14.78219,13535.0,True,13178
312,lipa30a,MIQP,14.78581,13491.0,True,13178
313,lipa30a,MIQP,18.89817,13491.0,True,13178
314,lipa30a,QUBO,0.00673,31423.73,False,13178
315,lipa30a,QUBO,1.59301,13752.0,True,13178
316,lipa30a,QUBO,1.65823,13728.0,True,13178
317,lipa30a,QUBO,1.72125,13663.0,True,13178
318,lipa30a,QUBO,8.60709,13611.46,False,13178
319,lipa30a,QUBO,15.43613,13589.46,False,13178
320,lipa30a,QUBO,15.49882,13576.46,False,13178
321,lipa30a,QUBO,15.68407,13569.46,False,13178
322,lipa30a,QUBO,15.74558,13557.46,False,13178
323,lipa30a,QUBO,15.80766,13552.46,False,13178
324,lipa30a,QUBO,18.6954,13552.46,False,13178
325,lipa40a,MILP,0.06091,32867.0,True,31538
326,lipa40a,MILP,7.15264,32669.0,True,31538
327,lipa40a,MILP,7.27214,32638.0,True,31538
328,lipa40a,MILP,7.37297,32637.0,True,31538
329,lipa40a,MILP,16.22584,32583.0,True,31538
330,lipa40a,MILP,16.41398,32534.0,True,31538
331,lipa40a,MILP,22.50891,32394.0,True,31538
332,lipa40a,MILP,28.38803,32355.0,True,31538
333,lipa40a,MILP,29.93775,32355.0,True,31538
334,lipa40a,MIQP,0.01626,32867.0,True,31538
335,lipa40a,MIQP,22.02597,32669.0,True,31538
336,lipa40a,MIQP,22.03475,32658.0,True,31538
337,lipa40a,MIQP,22.04339,32607.0,True,31538
338,lipa40a,MIQP,22.1769,32548.0,True,31538
339,lipa40a,MIQP,22.66841,32378.0,True,31538
340,lipa40a,MIQP,30.11177,32378.0,True,31538
341,lipa40a,QUBO,0.0145,76313.92,False,31538
342,lipa40a,QUBO,4.94853,32793.0,True,31538
343,lipa40a,QUBO,5.15052,32477.85,False,31538
344,lipa40a,QUBO,21.90744,32475.85,False,31538
345,lipa40a,QUBO,22.31231,32317.85,False,31538
346,lipa40a,QUBO,30.12187,32317.85,False,31538
347,lipa50a,MILP,0.1587,64109.0,True,62093
348,lipa50a,MILP,24.20857,64022.0,True,62093
349,lipa50a,MILP,24.48731,63966.0,True,62093
350,lipa50a,MILP,24.72745,63921.0,True,62093
351,lipa50a,MILP,40.45669,63918.0,True,62093
352,lipa50a,MILP,45.2535,63918.0,True,62093
353,lipa50a,MIQP,0.03314,64109.0,True,62093
354,lipa50a,MIQP,45.48402,64109.0,True,62093
355,lipa50a,QUBO,0.02898,147575.75,False,62093
356,lipa50a,QUBO,12.02304,64140.99,True,62093
357,lipa50a,QUBO,12.49676,63692.99,True,62093
358,lipa50a,QUBO,13.42324,63644.51,False,62093
359,lipa50a,QUBO,25.09151,63602.51,False,62093
360,lipa50a,QUBO,36.99486,63505.99,True,62093
361,lipa50a,QUBO,45.477,63505.99,True,62093
362,lipa60a,MILP,0.32211,110073.0,True,107218
363,lipa60a,MILP,56.36894,110035.0,True,107218
364,lipa60a,MILP,64.09421,110035.0,True,107218
365,lipa60a,MIQP,0.06307,110073.0,True,107218
366,lipa60a,MIQP,64.18882,110073.0,True,107218
367,lipa60a,QUBO,0.05475,244678.98,False,107218
368,lipa60a,QUBO,25.83941,110213.0,True,107218
369,lipa60a,QUBO,26.85171,109908.0,True,107218
370,lipa60a,QUBO,28.82295,109351.98,False,107218
371,lipa60a,QUBO,69.49027,109351.98,False,107218
372,lipa70a,MILP,0.64134,173428.0,True,169755
373,lipa70a,MILP,86.45936,173428.0,True,169755
374,lipa70a,MIQP,0.11357,173428.0,True,169755
375,lipa70a,MIQP,88.38908,173428.0,True,169755
376,lipa70a,QUBO,0.09887,396653.25,False,169755
377,lipa70a,QUBO,47.83473,173827.99,True,169755
378,lipa70a,QUBO,49.68093,173055.47,False,169755
379,lipa70a,QUBO,53.35522,172655.99,True,169755
380,lipa70a,QUBO,55.19824,172499.47,False,169755
381,lipa70a,QUBO,89.59836,172499.47,False,169755
382,lipa80a,MILP,1.14052,258262.0,True,253195
383,lipa80a,MILP,111.52956,258262.0,True,253195
384,lipa80a,MIQP,0.20372,258262.0,True,253195
385,lipa80a,MIQP,115.29743,258262.0,True,253195
386,lipa80a,QUBO,0.18289,569479.25,False,253195
387,lipa80a,QUBO,79.16159,258009.48,False,253195
388,lipa80a,QUBO,85.09741,257228.48,False,253195
389,lipa80a,QUBO,117.34036,257228.48,False,253195
390,lipa90a,MILP,1.88011,367327.0,True,360630
391,lipa90a,MILP,142.32243,367327.0,True,360630
392,lipa90a,MIQP,0.34696,367327.0,True,360630
393,lipa90a,MIQP,146.47201,367327.0,True,360630
394,lipa90a,QUBO,0.24872,851088.25,False,360630
395,lipa90a,QUBO,132.54138,367041.53,False,360630
396,lipa90a,QUBO,137.34718,366804.53,False,360630
397,lipa90a,QUBO,157.15041,365627.53,False,360630
398,nug27,MILP,0.01485,7424.0,True,5234
399,nug27,MILP,0.69209,6502.0,True,5234
400,nug27,MILP,1.0277,6456.0,True,5234
401,nug27,MILP,1.5207,6384.0,True,5234
402,nug27,MILP,2.55343,6340.0,True,5234
403,nug27,MILP,4.57336,6208.0,True,5234
404,nug27,MILP,5.1982,6196.0,True,5234
405,nug27,MILP,6.03446,6164.0,True,5234
406,nug27,MILP,8.90647,6152.0,True,5234
407,nug27,MILP,8.92117,6108.0,True,5234
408,nug27,MILP,12.56037,6006.0,True,5234
409,nug27,MILP,12.56388,5994.0,True,5234
410,nug27,MILP,12.56583,5936.0,True,5234
411,nug27,MILP,12.56762,5934.0,True,5234
412,nug27,MILP,12.5693,5910.0,True,5234
413,nug27,MILP,12.57127,5850.0,True,5234
414,nug27,MILP,12.57318,5830.0,True,5234
415,nug27,MILP,12.62329,5818.0,True,5234
416,nug27,MILP,12.64257,5796.0,True,5234
417,nug27,MILP,16.51816,5720.0,True,5234
418,nug27,MIQP,0.00338,7424.0,True,5234
419,nug27,MIQP,3.77672,7012.0,True,5234
420,nug27,MIQP,3.77864,6316.0,True,5234
421,nug27,MIQP,3.86985,6296.0,True,5234
422,nug27,MIQP,3.9593,6234.0,True,5234
423,nug27,MIQP,4.0126,6128.0,True,5234
424,nug27,MIQP,5.1922,5962.0,True,5234
425,nug27,MIQP,5.51276,5796.0,True,5234
426,nug27,MIQP,9.06959,5708.0,True,5234
427,nug27,MIQP,9.07141,5668.0,True,5234
428,nug27,MIQP,9.07288,5638.0,True,5234
429,nug27,MIQP,9.07445,5598.0,True,5234
430,nug27,MIQP,9.07619,5562.0,True,5234
431,nug27,MIQP,13.05607,5530.0,True,5234
432,nug27,MIQP,16.01319,5530.0,True,5234
433,nug27,QUBO,0.00315,38759.33,False,5234
