instance,process,step_scale,time,value,eta,zeta,constraint satisfaction,constraint coeff,best known solution
nug27,tuned,10,3.34057,5332.0,0.01,2.0,True,1,5234
nug27,tuned,20,4.49826,5354.0,0.0125,0.5,True,1,5234
nug27,tuned,50,7.9664,5300.0,0.0125,0.5,True,1,5234
nug28,tuning,2,1.25702,5390.0,0.01,1.0,True,1,5166
nug28,tuned,2,2.55491,5356.0,0.005,2.0,True,1,5166
nug28,tuned,5,2.8292,5344.0,0.0035,3.5,True,1,5166
nug28,tuned,10,3.48594,5268.0,0.0125,1.0,True,1,5166
nug28,tuned,20,4.67065,5236.0,0.01,1.0,True,1,5166
nug28,tuned,50,8.53476,5214.0,0.0075,1.5,True,1,5166
nug30,tuning,2,1.32254,6448.0,0.002,2.0,True,1,6124
nug30,tuned,2,2.57248,6330.0,0.0035,1.0,True,1,6124
nug30,tuned,5,3.02808,6170.0,0.005,0.0,True,1,6124
nug30,tuned,10,3.76426,6156.0,0.005,0.0,True,1,6124
nug30,tuned,20,5.15978,6152.0,0.0035,0.0,True,1,6124
nug30,tuned,50,9.37958,6140.0,0.005,0.0,True,1,6124
sko42,tuning,2,1.68788,16214.0,0.005,0.0,True,1,15812
sko42,tuned,2,3.32875,16032.0,0.002,2.0,True,1,15812
sko42,tuned,5,4.10705,16032.0,0.0035,1.0,True,1,15812
sko42,tuned,10,5.54678,16062.0,0.005,1.0,True,1,15812
sko42,tuned,20,8.42714,15940.0,0.005,0.0,True,1,15812
sko42,tuned,50,16.80073,15888.0,0.005,0.0,True,1,15812
sko49,tuning,2,1.93731,24010.0,0.002,5.0,True,1,23386
sko49,tuned,2,3.94425,23776.0,0.0075,2.5,True,1,23386
sko49,tuned,5,4.93495,23794.0,0.01,0.0,True,1,23386
sko49,tuned,10,6.90158,23612.0,0.01,2.5,True,1,23386
sko49,tuned,20,10.64556,23596.0,0.01,0.0,True,1,23386
sko49,tuned,50,22.09769,23486.0,0.01,0.0,True,1,23386
sko56,tuning,2,2.24116,35192.0,0.005,0.0,True,1,34458
sko56,tuned,2,4.43686,34986.0,0.002,0.0,True,1,34458
sko56,tuned,5,5.8886,34882.0,0.0035,0.5,True,1,34458
sko56,tuned,10,8.3221,34784.0,0.006,0.5,True,1,34458
sko56,tuned,20,13.32899,34744.0,0.006,0.0,True,1,34458
sko56,tuned,50,28.40465,34642.0,0.0035,1.0,True,1,34458
sko64,tuning,2,2.63184,49332.0,0.002,0.0,True,1,48498
sko64,tuned,2,4.96667,49234.0,0.002,1.0,True,1,48498
sko64,tuned,5,6.9326,48960.0,0.002,3.0,True,1,48498
sko64,tuned,10,10.20186,48926.0,0.0035,0.0,True,1,48498
sko64,tuned,20,16.53546,48776.0,0.0035,0.0,True,1,48498
sko64,tuned,50,36.02679,48764.0,0.002,2.5,True,1,48498
sko72,tuning,2,3.09229,67440.0,0.005,0.0,True,1,66256
sko72,tuned,2,5.91859,67014.0,0.0035,0.0,True,1,66256
sko72,tuned,5,8.2966,66908.0,0.002,2.5,True,1,66256
sko72,tuned,10,12.53222,66788.0,0.0035,0.5,True,1,66256
sko72,tuned,20,20.70459,66750.0,0.002,0.0,True,1,66256
sko72,tuned,50,45.86163,66706.0,0.005,0.0,True,1,66256
sko81,tuning,2,3.68287,92240.0,0.005,0.0,True,1,90998
sko81,tuned,2,7.09094,92116.0,0.002,1.5,True,1,90998
sko81,tuned,5,10.30762,91994.0,0.0035,1.5,True,1,90998
sko81,tuned,10,15.51138,91634.0,0.0035,1.5,True,1,90998
sko81,tuned,20,25.85899,91570.0,0.002,1.5,True,1,90998
sko81,tuned,50,57.91051,91742.0,0.0035,0.5,True,1,90998
sko90,tuning,2,4.32619,117482.0,0.002,0.0,True,1,115534
sko90,tuned,2,8.05678,117304.0,0.002,0.0,True,1,115534
sko90,tuned,5,11.95568,117004.0,0.002,0.0,True,1,115534
sko90,tuned,10,18.58808,116792.0,0.0035,1.0,True,1,115534
sko90,tuned,20,31.66693,116674.0,0.002,0.0,True,1,115534
sko90,tuned,50,69.79755,116560.0,0.0035,1.0,True,1,115534
sko100a,tuning,2,4.99601,154348.0,0.002,2.0,True,1,152002
sko100a,tuned,2,9.36707,153952.0,0.002,5.5,True,1,152002
sko100a,tuned,5,14.21165,153292.0,0.0035,0.5,True,1,152002
sko100a,tuned,10,22.19785,153184.0,0.002,0.5,True,1,152002
sko100a,tuned,20,38.3334,153146.0,0.002,0.0,True,1,152002
sko100a,tuned,50,86.84784,153164.0,0.002,1.0,True,1,152002
ste36a,tuning,2,1.64611,10822.0,0.002,0.0,True,1,9526
ste36a,tuned,2,3.26017,10534.0,0.01,1.5,True,1,9526
ste36a,tuned,5,3.7992,10342.0,0.01,2.0,True,1,9526
ste36a,tuned,10,4.83193,10078.0,0.0075,2.0,True,1,9526
ste36a,tuned,20,6.93226,9672.0,0.0035,1.0,True,1,9526
ste36a,tuned,50,12.98553,9724.0,0.002,0.0,True,1,9526
tai30a,tuning,2,1.54307,1929778.0,0.005,2.0,True,1,1818146
tai30a,tuned,2,3.02427,1908240.0,0.0075,1.5,True,1,1818146
tai30a,tuned,5,3.47031,1868924.0,0.0075,1.5,True,1,1818146
tai30a,tuned,10,4.16447,1861956.0,0.01,2.0,True,1,1818146
tai30a,tuned,20,5.56716,1855834.0,0.005,2.0,True,1,1818146
tai30a,tuned,50,9.91336,1843076.0,0.01,1.5,True,1,1818146
tai35a,tuning,2,1.69915,2597576.0,0.002,2.0,True,1,2422002
tai35a,tuned,2,3.38853,2557868.0,0.0035,1.0,True,1,2422002
tai35a,tuned,5,3.89131,2506518.0,0.0035,2.0,True,1,2422002
tai35a,tuned,10,4.83309,2486468.0,0.006,1.0,True,1,2422002
tai35a,tuned,20,6.8164,2436346.0,0.0075,2.0,True,1,2422002
tai35a,tuned,50,12.55479,2434938.0,0.005,2.0,True,1,2422002
tai40a,tuning,2,1.83393,3349660.0,0.002,10.0,True,1,3139370
tai40a,tuned,2,3.55907,3315850.0,0.01,2.0,True,1,3139370
tai40a,tuned,5,4.30987,3259814.0,0.0075,0.0,True,1,3139370
tai40a,tuned,10,5.61388,3211744.0,0.005,0.0,True,1,3139370
tai40a,tuned,20,8.1772,3192240.0,0.0075,1.0,True,1,3139370
tai40a,tuned,50,15.60792,3161488.0,0.0035,5.0,True,1,3139370
tai50a,tuning,2,2.2033,5247694.0,0.002,20.0,True,1,4938796
tai50a,tuned,2,4.23555,5208908.0,0.0035,5.0,True,1,4938796
tai50a,tuned,5,5.46679,5127580.0,0.002,10.0,True,1,4938796
tai50a,tuned,10,7.52,5077358.0,0.005,5.0,True,1,4938796
tai50a,tuned,20,11.50856,5000138.0,0.005,0.0,True,1,4938796
tai50a,tuned,50,23.61254,4989160.0,0.0075,2.5,True,1,4938796
tai60a,tuning,2,2.66994,7636032.0,0.002,2.0,True,1,7205962
tai60a,tuned,2,5.11508,7599238.0,0.005,2.0,True,1,7205962
tai60a,tuned,5,6.82957,7470638.0,0.002,5.0,True,1,7205962
tai60a,tuned,10,9.74396,7383572.0,0.0035,2.0,True,1,7205962
tai60a,tuned,20,15.7135,7318692.0,0.0035,2.0,True,1,7205962
tai60a,tuned,50,33.2716,7253834.0,0.005,2.0,True,1,7205962
tai64c,tuning,2,2.93971,1896632.0,0.01,5.0,True,1,1855928
tai64c,tuned,2,5.91121,1868676.0,0.035,3.0,True,1,1855928
tai64c,tuned,5,7.68114,1873692.0,0.035,1.5,True,1,1855928
tai64c,tuned,10,10.75319,1872452.0,0.05,1.0,True,1,1855928
tai64c,tuned,20,17.28115,1870048.0,0.05,1.0,True,1,1855928
tai64c,tuned,50,36.84526,1860976.0,0.006,27.5,True,1,1855928
tai80a,tuning,2,4.01849,14250896.0,0.002,10.0,True,1,13499184
