instance,best_known,MILP_time,MILP_value,MIQP_time,MIQP_value,QUBO_time,QUBO_value,AMFD_time,AMFD_value
lipa50a,62093,0.1587,64109.0,0.03314,64109.0,12.02304,64140.99,1.81742,63585.0
lipa50a,62093,24.20857,64022.0,45.48402,64109.0,12.49676,63692.99,3.58222,63519.0
lipa50a,62093,24.48731,63966.0,,,36.99486,63505.99,4.75326,63419.0
lipa50a,62093,24.72745,63921.0,,,45.477,63505.99,6.73205,63275.0
lipa50a,62093,40.45669,63918.0,,,,,10.68607,63187.0
lipa50a,62093,45.2535,63918.0,,,,,22.61002,63025.0
lipa60a,107218,0.32211,110073.0,0.06307,110073.0,25.83941,110213.0,2.25948,109505.0
lipa60a,107218,56.36894,110035.0,64.18882,110073.0,26.85171,109908.0,4.3289,109320.0
lipa60a,107218,64.09421,110035.0,,,,,6.07013,109075.0
lipa60a,107218,,,,,,,8.92521,108874.0
lipa60a,107218,,,,,,,14.73966,108913.0
lipa60a,107218,,,,,,,31.91076,108771.0
lipa70a,169755,0.64134,173428.0,0.11357,173428.0,47.83473,173827.99,2.80682,172848.0
lipa70a,169755,86.45936,173428.0,88.38908,173428.0,53.35522,172655.99,5.31658,172794.0
lipa70a,169755,,,,,,,7.63505,172599.0
lipa70a,169755,,,,,,,11.55534,172379.0
lipa70a,169755,,,,,,,19.32082,172336.0
lipa70a,169755,,,,,,,43.11507,172066.0
lipa80a,253195,1.14052,258262.0,0.20372,258262.0,,,3.28534,257352.0
lipa80a,253195,111.52956,258262.0,115.29743,258262.0,,,6.43743,257233.0
lipa80a,253195,,,,,,,9.29396,256865.0
lipa80a,253195,,,,,,,14.54454,256845.0
lipa80a,253195,,,,,,,24.83384,256686.0
lipa80a,253195,,,,,,,55.61974,256503.0
lipa90a,360630,1.88011,367327.0,0.34696,367327.0,,,3.98329,365757.0
lipa90a,360630,142.32243,367327.0,146.47201,367327.0,,,7.75944,365757.0
lipa90a,360630,,,,,,,11.49917,365757.0
lipa90a,360630,,,,,,,18.13458,365663.0
lipa90a,360630,,,,,,,31.2858,365286.0
lipa90a,360630,,,,,,,70.0516,365291.0
nug27,5234,1.5207,6384.0,0.00338,7424.0,0.7356,6140.0,1.23246,5636.0
nug27,5234,2.55343,6340.0,3.77864,6316.0,0.78575,6004.0,2.48342,5464.0
nug27,5234,4.57336,6208.0,5.1922,5962.0,5.76297,5948.0,2.74969,5352.0
nug27,5234,6.03446,6164.0,5.51276,5796.0,9.09165,5902.0,3.34057,5332.0
nug27,5234,8.92117,6108.0,9.07619,5562.0,10.37574,5680.0,4.49826,5354.0
nug27,5234,12.64257,5796.0,13.05607,5530.0,12.09743,5596.0,7.9664,5300.0
nug27,5234,16.51816,5720.0,16.01319,5530.0,16.16489,5596.0,,
nug28,5166,0.01465,6790.0,0.00185,6790.0,0.80472,6990.0,1.25702,5390.0
nug28,5166,1.34417,6436.0,3.06542,6732.0,0.83415,5726.0,2.55491,5356.0
nug28,5166,3.69449,5922.0,3.21401,6276.0,5.44937,5676.0,2.8292,5344.0
nug28,5166,4.95323,5902.0,4.47828,5942.0,17.51908,5676.0,3.48594,5268.0
nug28,5166,10.09344,5786.0,7.41052,5652.0,,,4.67065,5236.0
nug28,5166,13.43964,5676.0,15.07559,5644.0,,,8.53476,5214.0
nug28,5166,17.55162,5626.0,17.39216,5544.0,,,,
nug30,6124,0.85802,7924.0,0.00513,7976.0,1.12094,6934.0,1.32254,6448.0
nug30,6124,2.71576,7232.0,4.9223,7444.0,1.1957,6922.0,2.57248,6330.0
nug30,6124,5.97998,7208.0,4.98009,7226.0,8.00069,6822.0,3.02808,6170.0
nug30,6124,7.1622,7022.0,5.11976,6998.0,11.87567,6770.0,3.76426,6156.0
nug30,6124,11.56923,6952.0,7.30569,6774.0,17.81467,6694.0,5.15978,6152.0
nug30,6124,16.63013,6716.0,12.44758,6684.0,17.93656,6622.0,9.37958,6140.0
nug30,6124,19.28394,6696.0,19.27045,6578.0,19.16846,6622.0,,
sko42,15812,0.05834,20008.0,0.01383,20008.0,4.43532,20540.0,1.68788,16214.0
sko42,15812,4.9102,19228.0,20.91477,18710.0,4.58317,17586.0,3.32875,16032.0
sko42,15812,12.00867,18844.0,21.08138,18488.0,33.78896,17586.0,4.10705,16032.0
sko42,15812,16.08608,18666.0,21.29733,18390.0,,,5.54678,16062.0
sko42,15812,19.80239,18648.0,21.68563,17644.0,,,8.42714,15940.0
sko42,15812,31.48131,17770.0,33.79987,17438.0,,,16.80073,15888.0
sko42,15812,33.62006,17770.0,,,,,,
sko49,23386,0.08731,29338.0,0.0244,29338.0,7.61403,28510.0,1.93731,24010.0
sko49,23386,15.32588,28370.0,39.48843,26776.0,7.87883,26266.0,3.94425,23776.0
sko49,23386,15.49748,28146.0,40.69109,26056.0,8.14493,25842.0,4.93495,23794.0
sko49,23386,19.60167,27914.0,47.36685,26056.0,44.41357,25842.0,6.90158,23612.0
sko49,23386,27.76577,27900.0,,,,,10.64556,23596.0
sko49,23386,36.44139,27132.0,,,,,22.09769,23486.0
sko49,23386,44.21855,27132.0,,,,,,
sko56,34458,0.15531,42892.0,0.03717,42892.0,13.3954,42582.0,2.24116,35192.0
sko56,34458,21.31539,40126.0,57.02993,42892.0,13.8446,38752.0,4.43686,34986.0
sko56,34458,28.07079,40120.0,,,14.29301,38018.0,5.8886,34882.0
sko56,34458,56.85816,40120.0,,,53.43363,37820.0,8.3221,34784.0
sko56,34458,,,,,59.10883,37820.0,13.32899,34744.0
sko56,34458,,,,,,,28.40465,34642.0
sko64,48498,0.24176,58678.0,0.05028,58678.0,23.13478,59556.0,2.63184,49332.0
sko64,48498,37.32219,56750.0,72.32214,58678.0,23.88893,53324.0,4.96667,49234.0
sko64,48498,71.84986,56174.0,,,73.05345,53324.0,6.9326,48960.0
sko64,48498,72.24809,56174.0,,,,,10.20186,48926.0
sko64,48498,,,,,,,16.53546,48776.0
sko64,48498,,,,,,,36.02679,48764.0
sko72,66256,0.41699,79846.0,0.08921,79846.0,36.7974,80498.0,3.09229,67440.0
sko72,66256,87.8899,76182.0,93.28743,79846.0,38.01341,73864.0,5.91859,67014.0
sko72,66256,90.1321,76036.0,,,40.424,73622.0,8.2966,66908.0
sko72,66256,91.84272,76036.0,,,93.00667,73622.0,12.53222,66788.0
sko72,66256,,,,,,,20.70459,66750.0
sko72,66256,,,,,,,45.86163,66706.0
sko81,90998,0.71116,109246.0,0.14875,109246.0,59.46405,108002.0,3.68287,92240.0
sko81,90998,116.00538,109246.0,117.96049,109246.0,61.41977,105978.0,7.09094,92116.0
sko81,90998,,,,,63.3014,100524.0,10.30762,91994.0
sko81,90998,,,,,118.04125,100524.0,15.51138,91634.0
sko81,90998,,,,,,,25.85899,91570.0
sko81,90998,,,,,,,57.91051,91742.0
sko90,115534,1.02213,137716.0,0.20581,137716.0,90.70613,135590.01,4.32619,117482.0
sko90,115534,139.88097,137716.0,143.76967,137716.0,93.53325,131108.01,8.05678,117304.0
sko90,115534,,,,,99.20483,127892.01,11.95568,117004.0
sko90,115534,,,,,144.24706,127892.01,18.58808,116792.0
sko90,115534,,,,,,,31.66693,116674.0
sko90,115534,,,,,,,69.79755,116560.0
sko100a,152002,1.98439,179718.0,0.36869,179718.0,141.85472,180374.03,4.99601,154348.0
sko100a,152002,196.00398,179718.0,180.47558,179718.0,146.42777,173336.03,9.36707,153952.0
sko100a,152002,,,,,150.9482,169662.03,14.21165,153292.0
sko100a,152002,,,,,155.41833,167520.03,22.19785,153184.0
sko100a,152002,,,,,187.10176,167520.03,38.3334,153146.0
sko100a,152002,,,,,,,86.84784,153164.0
ste36a,9526,1.23175,19716.0,0.00463,21534.0,1.01282,19807.99,1.64611,10822.0
ste36a,9526,3.12143,17128.0,3.93652,16696.0,1.12598,13891.99,3.26017,10534.0
ste36a,9526,4.56091,15472.0,6.60436,14460.0,9.47398,13835.99,3.7992,10342.0
ste36a,9526,7.91478,12336.0,14.54471,13600.0,13.21264,12761.99,4.83193,10078.0
ste36a,9526,14.12304,12032.0,19.68187,13520.0,18.95159,12759.99,6.93226,9672.0
ste36a,9526,19.81289,11424.0,24.26428,12110.0,21.80912,12361.99,12.98553,9724.0
ste36a,9526,27.34204,11362.0,26.20928,12110.0,27.73927,12361.99,,
tai30a,1818146,0.01946,2226000.0,0.00745,2226000.0,1.71527,2065972.25,1.54307,1929778.0
tai30a,1818146,1.52207,2175212.0,6.54926,2147342.0,8.51377,2054784.25,3.02427,1908240.0
tai30a,1818146,5.6771,2081498.0,6.78919,2046262.0,10.16937,2048268.25,3.47031,1868924.0
tai30a,1818146,9.20167,2015340.0,9.21832,1990302.0,12.81163,2021238.25,4.16447,1861956.0
tai30a,1818146,16.14299,1971100.0,13.80024,1966118.0,14.97224,2018512.25,5.56716,1855834.0
tai30a,1818146,19.54576,1953926.0,15.12483,1924698.0,18.50403,2000890.25,9.91336,1843076.0
tai30a,1818146,20.8713,1953926.0,20.54143,1924698.0,20.2111,1966008.25,,
tai35a,2422002,0.04122,2922666.0,0.01073,2922666.0,2.80862,2907076.08,1.69915,2597576.0
tai35a,2422002,3.37562,2820324.0,11.90018,2856154.0,2.9124,2846230.08,3.38853,2557868.0
tai35a,2422002,6.80626,2818416.0,12.38916,2681336.0,3.11607,2700696.08,3.89131,2506518.0
tai35a,2422002,11.0633,2790214.0,16.82748,2649862.0,22.44007,2693788.08,4.83309,2486468.0
tai35a,2422002,17.16934,2700870.0,17.06629,2624482.0,25.46156,2693788.08,6.8164,2436346.0
tai35a,2422002,25.39724,2677334.0,23.62241,2555674.0,,,12.55479,2434938.0
tai35a,2422002,,,27.78757,2555674.0,,,,
tai40a,3139370,0.06154,3828626.0,0.01596,3828626.0,5.0469,3625576.5,1.83393,3349660.0
tai40a,3139370,7.32995,3556356.0,19.24781,3696304.0,5.38868,3461850.5,3.55907,3315850.0
tai40a,3139370,7.45973,3553550.0,19.26544,3607290.0,25.09612,3451588.5,4.30987,3259814.0
tai40a,3139370,7.63733,3533714.0,19.40812,3586418.0,31.4953,3451588.5,5.61388,3211744.0
tai40a,3139370,14.1427,3495750.0,19.93545,3528794.0,,,8.1772,3192240.0
tai40a,3139370,31.23252,3495750.0,28.57985,3468510.0,,,15.60792,3161488.0
tai40a,3139370,,,31.98782,3468510.0,,,,
tai50a,4938796,0.14644,5972176.0,0.02721,5972176.0,11.8329,5939594.19,2.2033,5247694.0
tai50a,4938796,21.47932,5607804.0,47.47779,5972176.0,12.25356,5579046.19,4.23555,5208908.0
tai50a,4938796,38.43985,5607700.0,,,13.08421,5449290.19,5.46679,5127580.0
tai50a,4938796,47.26128,5607700.0,,,47.74016,5449290.19,7.52,5077358.0
tai50a,4938796,,,,,,,11.50856,5000138.0
tai50a,4938796,,,,,,,23.61254,4989160.0
tai60a,7205962,0.29319,8689112.0,0.0628,8689112.0,25.78123,8501597.12,2.66994,7636032.0
tai60a,7205962,47.74118,8349642.0,66.81624,8689112.0,26.66979,8325195.12,5.11508,7599238.0
tai60a,7205962,48.56332,8340470.0,,,27.52073,8310497.12,6.82957,7470638.0
tai60a,7205962,66.62456,8340470.0,,,29.193,7910553.12,9.74396,7383572.0
tai60a,7205962,,,,,67.51305,7910553.12,15.7135,7318692.0
tai60a,7205962,,,,,,,33.2716,7253834.0
tai64c,1855928,0.71692,2423872.0,0.00768,3110490.0,5.56848,2076496.0,2.93971,1896632.0
tai64c,1855928,2.22163,1985470.0,5.44257,3110490.0,13.91602,2014796.0,5.91121,1868676.0
tai64c,1855928,5.52719,1961014.0,31.21308,1942476.0,45.4007,1975154.0,7.68114,1873692.0
tai64c,1855928,27.13595,1866306.0,42.38452,1901998.0,58.41925,1971380.0,10.75319,1872452.0
tai64c,1855928,57.77377,1866306.0,58.97959,1881164.0,61.89894,1928304.0,17.28115,1870048.0
tai64c,1855928,65.53115,1857646.0,68.40318,1860702.0,67.53045,1913192.0,36.84526,1860976.0
tai64c,1855928,73.94947,1857646.0,74.0418,1860702.0,81.01285,1908852.0,,
tai80a,13499184,1.00739,15714140.0,0.21128,15714140.0,80.78464,14951746.0,4.01849,14250896.0
tai80a,13499184,131.34067,15714140.0,116.66312,15714140.0,,,7.57029,14229446.0
tai80a,13499184,,,,,,,10.55483,13953560.0
tai80a,13499184,,,,,,,15.78667,13748904.0
tai80a,13499184,,,,,,,25.81482,13694992.0
tai80a,13499184,,,,,,,56.67931,13650246.0
tai100a,21044752,2.835,23934276.0,0.43771,23934276.0,201.59959,22568329.25,5.14235,22112480.0
tai100a,21044752,185.35835,23934276.0,183.24453,23934276.0,,,9.63892,22112480.0
tai100a,21044752,,,,,,,14.48414,21699428.0
tai100a,21044752,,,,,,,22.47114,21448378.0
tai100a,21044752,,,,,,,38.45383,21266776.0
tai100a,21044752,,,,,,,87.00363,21196340.0
tai150b,498896643,6.05221,646476878.0,1.58865,646476878.0,687.50981,653468362.0,10.19902,507454016.0
tai150b,498896643,774.05987,646476878.0,806.52711,646476878.0,709.85393,560999749.0,26.59952,504447200.0
tai150b,498896643,,,,,754.20378,552650929.0,49.00121,505052416.0
tai150b,498896643,,,,,782.8971,552650929.0,86.31956,503662176.0
tai150b,498896643,,,,,,,161.05338,503813120.0
tai150b,498896643,,,,,,,385.77727,503631360.0
tho30,149936,0.96008,204184.0,0.00402,211386.0,0.84128,204240.01,1.74689,159684.0
tho30,149936,2.23148,196458.0,4.34737,186658.0,0.87182,169226.01,3.42278,156842.0
tho30,149936,3.24064,190056.0,4.51676,178222.0,0.90193,166148.01,3.87499,154540.0
tho30,149936,5.29087,173752.0,6.42606,174444.0,15.53047,164044.01,4.60853,153230.0
tho30,149936,11.10197,169092.0,11.27289,168944.0,19.27376,162152.01,5.97705,152198.0
tho30,149936,14.31129,167104.0,15.3797,168228.0,21.51184,162152.01,10.20512,151476.0
tho30,149936,21.82127,163310.0,20.95013,167174.0,,,,
tho40,240516,0.02406,342694.0,0.009,342694.0,2.14305,334191.94,2.03014,254074.0
tho40,240516,2.72705,308498.0,12.7437,329998.0,2.22267,281587.94,3.93812,245118.0
tho40,240516,7.73628,299048.0,12.99524,299186.0,12.71058,280385.94,4.71015,243680.0
tho40,240516,14.65998,291094.0,20.73003,275534.0,17.93035,275511.94,6.00058,242818.0
tho40,240516,22.89279,273744.0,20.99299,275344.0,30.71552,268481.94,8.49434,241610.0
tho40,240516,32.19286,269286.0,30.34824,266514.0,33.61101,264375.94,16.33511,242334.0
tho40,240516,33.09452,269286.0,33.18473,266514.0,,,,
tho150,8133398,5.72767,9851230.0,1.0399,9851230.0,416.40759,9821483.19,11.14666,8235540.0
tho150,8133398,772.70105,9851230.0,791.04534,9851230.0,431.33924,9077431.19,27.55768,8235540.0
tho150,8133398,,,,,460.94731,8960049.19,49.88259,8219582.0
tho150,8133398,,,,,802.93554,8960049.19,87.04939,8221460.0
tho150,8133398,,,,,,,161.58419,8224330.0
tho150,8133398,,,,,,,385.01235,8204086.0
wil50,48816,0.11562,55250.0,0.03238,55250.0,10.82833,56016.0,2.45286,49752.0
wil50,48816,22.32335,53922.0,35.2896,53900.0,11.19402,54338.0,4.68687,49752.0
wil50,48816,22.5595,53414.0,35.56932,53512.0,39.48285,54150.0,5.95641,49394.0
wil50,48816,22.84824,53238.0,36.97726,52434.0,49.78778,54150.0,7.95808,49358.0
wil50,48816,28.49118,53226.0,48.47422,52434.0,,,11.99164,49124.0
wil50,48816,39.68592,53200.0,,,,,24.12855,48970.0
wil50,48816,48.28344,53200.0,,,,,,
wil100,273038,2.34485,300794.0,0.39832,300794.0,202.13806,294021.99,5.74984,276068.0
wil100,273038,184.05358,300794.0,187.68659,300794.0,,,10.49522,275274.0
wil100,273038,,,,,,,15.47215,275110.0
wil100,273038,,,,,,,23.6821,274840.0
wil100,273038,,,,,,,40.05263,274530.0
wil100,273038,,,,,,,89.23503,274488.0
